¿Preferirías que los alienígenas que hagan el primer contacto sean robóticos u orgánicos?,Would you rather the aliens that make first contact be robotic or organic?
¿Preferirías perder la capacidad de leer o perder la capacidad de hablar?,Would you rather lose the ability to read or lose the ability to speak?
¿Preferirías tener una voz de oro o una lengua de plata?,Would you rather have a golden voice or a silver tongue?
¿Preferirías estar cubierto de pieles o cubierto de escamas?,Would you rather be covered in fur or covered in scales?
¿Preferirías estar en la cárcel durante un año o perder un año de tu vida?,Would you rather be in jail for a year or lose a year off your life?
¿Preferirías llegar siempre 10 minutos tarde o llegar siempre 20 minutos antes?,Would you rather always be 10 minutes late or always be 20 minutes early?
¿Preferirías tener una verdadera tarjeta para salir de la cárcel o una llave que abre cualquier puerta?,Would you rather have one real get out of jail free card or a key that opens any door?
¿Preferirías conocer la historia de cada objeto que tocas o poder hablar con los animales?,Would you rather know the history of every object you touched or be able to talk to animals?
¿Preferirías estar casado con un 10 con mala personalidad o con un 6 con una personalidad increíble?,Would you rather be married to a 10 with a bad personality or a 6 with an amazing personality?
"¿Preferirías poder hablar con animales terrestres, con animales que vuelan o con animales que viven bajo el agua?","Would you rather be able to talk to land animals, animals that fly, or animals that live under the water?"
¿Preferirías que todos los semáforos a los que te acercas estuvieran en verde o no tener que hacer nunca más cola?,Would you rather have all traffic lights you approach be green or never have to stand in line again?
¿Preferirías pasar el resto de tu vida con un velero como hogar o con una autocaravana como hogar?,Would you rather spend the rest of your life with a sailboat as your home or an RV as your home?
¿Preferirías renunciar a todas las bebidas excepto al agua o dejar de comer cualquier cosa que se cocine en un horno?,Would you rather give up all drinks except for water or give up eating anything that was cooked in an oven?
¿Preferirías poder ver 10 minutos en tu propio futuro o 10 minutos en el futuro de cualquier persona que no seas tú?,Would you rather be able to see 10 minutes into your own future or 10 minutes into the future of anyone but yourself?
¿Preferirías tener un trabajo fácil trabajando para otra persona o trabajar para ti mismo pero trabajar increíblemente duro?,Would you rather have an easy job working for someone else or work for yourself but work incredibly hard?
¿Preferirías ser la primera persona en explorar un planeta o ser el inventor de un medicamento que cure una enfermedad mortal?,Would you rather be the first person to explore a planet or be the inventor of a drug that cures a deadly disease?
¿Preferirías volver a los 5 años con todo lo que sabes ahora o saber ahora todo lo que aprenderá tu futuro yo?,Would you rather go back to age 5 with everything you know now or know now everything your future self will learn?
¿Preferirías poder controlar a los animales (pero no a los humanos) con tu mente o controlar la electrónica con tu mente?,Would you rather be able to control animals (but not humans) with your mind or control electronics with your mind?
¿Preferirías tener billetes internacionales de primera clase ilimitados o no tener que pagar nunca por la comida en los restaurantes?,Would you rather have unlimited international first-class tickets or never have to pay for food at restaurants?
¿Preferirías ver lo que hay detrás de cada puerta cerrada o ser capaz de adivinar la combinación de todas las cajas fuertes al primer intento?,Would you rather see what was behind every closed door or be able to guess the combination of every safe on the first try?
