Abeja,Bee
Águila,Eagle
Alce,Moose
Alce,Elk
Almejas,Clams
Alondra,Lark
Anchoa,Anchovy
Anguila,Eel
Antílope,Antelope
Araña,Spider
Ardilla,Squirrel
Arenque,Herring
Atún,Tuna
Avestruz,Ostrich
Avispa,Wasp
Babosa,Slug
Bacalao,Cod
Ballena,Whale
Buey,Ox
Búfalo,Buffalo
Búho,Owl
Buitre,Vulture
Burro,Donkey
Caballa,Mackerel
Caballito de Mar,Sea-Horse
Caballo,Horse
Cabra,Goat
Cacatúa,Cockatoo
Caimán,Alligator
Calamar,Squid
Camaleón,Chameleon
Camarón,Shrimp
Camello,Camel
Canario,Canary
Cangrejo,Crab
Canguro,Kangaroo
Caracol,Snail
Castor,Beaver
Cebra,Zebra
Cerdo,Pig
Cerdo,Hog
Chacal,Jackal
Chimpancé,Chimpanzee
Chinche,Bedbug
Ciempiés,Centipede
Ciervo,Deer
Ciervo macho,Stag
Cigarra,Cicada
Cigüeña,Stork
Cisne,Swan
Cobaya,Guinea Pig
Cocodrilo,Crocodile
Codorniz,Quail
Colibrí,Hummingbird
Comadreja,Weasel
Cóndor,Condor
Conejo,Rabbit
Correcaminos,Roadrunner
Capibara,Capybara
Cucaracha,Cockroach
Cuco,Cuckoo
Cuervo,Crow
Delfín,Dolphin
Dromedario,Dromedary
Elefante,Elephant
Erizo,Hedgehog
Escarabajo,Beetle
Escorpión,Scorpion
Estrella de Mar,Starfish
Faisán,Pheasant
Flamenco,Flamingo
Foca,Seal
Gacela,Gazelle
Gallina,Hen
Gallo,Rooster
Gamba,Prawn
Ganso,Goose
Garrapata,Tick
Gato,Cat
Gavilán,Buzzard
Gaviota,Seagull
Golondrina,Swallow
Gorila,Gorilla
Gorrión,Sparrow
Grillo,Cricket
Grulla,Crane
Guepardo,Cheetah
Gusano,Worm
Halcón,Falcon
Hiena,Hyena
Hipopótamo,Hippopotamus
Hormiga,Ant
Hurón,Ferret
Urraca,Magpie
Iguana,Iguana
Jabalí,Boar
Jaguar,Jaguar
Jilguero,Goldfinch
Jirafa,Giraffe
Koala,Koala
Lagartija,Lizard
Langosta,Lobster
Lenguado,Sole
León,Lion
León Marino,Sea Lion
Leopardo,Leopard
Libélula,Dragonfly
Liebre,Hare
Lince,Lynx
Llama,Llama
Lobo,Wolf
Lombriz,Earthworm
Loro,Parrot
Luciérnaga,Firefly
Mamut,Mammoth
Manatí,Manatee
Mandril,Baboon
Mantis Religiosa,Praying Mantis
Mapache,Racoon
Mariposa,Butterfly
Mariquita,Ladybird
Marmota,Groundhog
Medusa,Jellyfish
Mejillón,Mussel
Mirlo,Blackbird
Mofeta,Skunk
Mono,Monkey
Morsa,Walrus
Mosca,Fly
Mula,Mule
Murciélago,Bat
Nutria,Otter
Orca,Killer Whale
Oruga,Caterpillar
Oso,Bear
Oso Hormiguero,Anteater
Oso Panda,Panda Bear
Oso Perezoso,Sloth
Oso Polar,Polar Bear
Ostra,Oyster
Oveja,Sheep
Pájaro,Bird
Pájaro Carpintero,Woodpecker
Paloma,Pigeon
Pantera,Panther
Pato,Duck
Pavo,Turkey
Pavo Real,Peacock
Pelícano,Pelican
Perdiz,Partridge
Periquito,Parakeet
Perro,Dog
Petirrojo,Robin
Pez Espada,Swordfish
Pez,Fish
Pingüino,Penguin
Polilla,Moth
Pollo,Chicken
Polluelo,Chick
Poni,Pony
Potro,Foal
Puercoespín,Porcupine
Pulga,Flea
Pulpo,Octopus
Puma,Cougar
Rana,Frog
Rata,Rat
Ratón,Mouse
Raya,Ray
Reno,Reindeer
Rinoceronte,Rhino
Ruiseñor,Nightingale
Salamandra,Salamander
Salmón,Salmon
Saltamontes,Grasshopper
Sanguijuela,Leech
Sapo,Toad
Sardina,Sardine
Serpiente,Snake
Tapir,Tapir
Tarántula,Tarantula
Tejón,Badger
Ternero,Calf
Tiburón,Shark
Tigre,Tiger
Topo,Mole
Dragón de Komodo,Komodo dragon
Toro,Bull
Tortuga de mar,Turtle
Tortuga de Tierra,Tortoise
Tritón,Newt
Trucha,Trout
Tucán,Toucan
Vaca,Cow
Víbora,Adder
Visón,Mink
Yegua,Mare
Zorra,Vixen
Zorro,Fox
