questions_spa,questions_eng
¿Qué cosa importante o interesante has hecho de la cual te sientes orgulloso(a)?,What important or interesting thing have you done that you are proud of?
"¿Sueles ser puntual, o sueles llegar tarde?","Are you punctual, or are you often late?"
"¿En qué forma eres poco convencional, peculiar o excéntrico?","In what ways are you unconventional, quirky or eccentric?"
¿Con qué frecuencia sueles observar detalladamente a la gente que pasa?,How often do you tend to look closely at people passing by?
¿Cuál es tu bebida favorita?,What is your favourite drink?
¿Qué cosa esperas que nunca cambie?,What one thing do you hope never changes?
¿Cuál es el automóvil de tus sueños?,What is your dream car?
¿De dónde preferirías ser?,Where would you rather be from?
¿A qué cosas le darías una puntuación de 10 / 10?,What things would you give a score of 10 / 10?
¿En qué trabajo serías pésimo(a)?,Which job would you suck at?
¿Qué estás absolutamente decidido(a) a hacer?,What are you absolutely determined to do?
¿Qué habilidad te gustaría dominar o perfeccionar?,What skill would you like to master or perfect?
¿Qué sitio web visitas más?,Which website do you visit the most?
¿Cómo sería tu habitación o cuarto ideal?,What would your ideal room look like?
¿Hasta qué edad quieres vivir?,How old do you want to live?
¿Qué tipo de arte disfrutas más?,What kind of art do you enjoy the most?
¿Qué te hace perder mucho tiempo de tu día?,What takes a lot of time out of your day?
¿De qué te gustaría saber más?,What would you like to know more about?
¿Cuál es la mejor manera de empezar el día?,What is the best way to start your day?
¿De qué misterio te gustaría saber la respuesta?,What mystery would you like to know the answer to?
¿Qué tan diferente era tu vida hace un año?,How different was your life a year ago?
¿Cuál es el mejor día del calendario?,What is the best day on the calendar?
¿Cuáles son algunas cosas que has tenido que desaprender?,What are some things you have had to unlearn?
¿Cuál es tu género favorito de libros o películas?,What is your favourite genre of book or film?
¿Qué moda o tendencia esperas que vuelva?,What fad or trend do you hope will make a comeback?
¿En qué ciudad te gustaría vivir?,What city would you like to live in?
¿Cuándo fue la última vez que te subiste a un árbol sólo por diversión?,When was the last time you climbed a tree just for fun?
¿Cuál consideras que es tu mejor hallazgo?,What do you consider to be your best find?
¿Qué tiene de especial el lugar donde creciste?,What is special about the place where you grew up?
¿Qué edad te gustaría tener para siempre?,How old would you like to be forever?
¿En qué vale la pena gastar más para obtener lo mejor?,What is worth spending more on to get the best?
¿Por qué cosa es más probable que te hagas famoso(a)?,What are you most likely to become famous for?
¿A qué lugar ficticio te gustaría más ir?,What fictional place would you most like to go to?
¿En dónde está el lugar más relajante que has visitado?,Where is the most relaxing place you have ever visited?
¿Sobre qué te has formado una opinión recientemente?,What have you recently formed an opinion about?
¿Qué es lo más reconfortante que has visto?,What is the most comforting thing you have seen?
¿Cuál es la pieza de arte más interesante que has visto?,What is the most interesting piece of art you have seen?
¿Qué es algo que te gusta hacer a la antigua?,What is something you like to do the old-fashioned way?
¿Prefieres hacer ala delta o rafting en aguas bravas?,Do you prefer hang gliding or white water rafting?
