questions_spa,questions_eng
¿Cuál fue el último libro que leíste?,What was the last book you read?
¿Cuál era tu libro favorito de cuando eras niño(a)?,What was your favourite book when you were a child?
¿Prefiere libros físicos o libros electrónicos?,Do you prefer physical books or e-books?
¿Cuál es el libro más largo que has leído?,What is the longest book you have read?
¿Qué géneros de literatura te gusta leer?,What genres of literature do you like to read?
¿Qué tan rápido lees?,How fast do you read?
¿Con qué frecuencia vas a la biblioteca?,How often do you go to the library?
¿Qué libro te ha impactado más?,Which book has had the biggest impact on you?
¿Prefieres libros de ficción o de no ficción?,Do you prefer fiction or non-fiction books?
¿Qué libro ha cambiado una de tus antiguas opiniones?,Which book has changed one of your old opinions?
¿Qué libro ha tenido el más grande efecto en el mundo moderno?,Which book has had the greatest effect on the modern world?
"¿Cuál fue el peor libro que tuviste que leer para la escuela? Y, ¿qué tal el mejor libro que tuviste que leer para la escuela?",What was the worst book you had to read for school? And how about the best book you had to read for school?
¿Crees que las personas leen más o menos libros ahora que hace 50 años?,Do you think people read more or fewer books now than they did 50 years ago?
"Ahora que la publicación independiente se ha vuelto más fácil, ¿los libros han mejorado o empeorado?","Now that independent publishing has become easier, have books gotten better or worse?"
Dicen que todo el mundo tiene un libro dentro de sí. ¿De qué trataría tu libro?,They say everyone has a book in them. What would your book be about?
¿Cuál fue el mejor libro o serie de libros que has leído?,What was the best book or series of books you've read?
¿Cuál es tu cocina preferida o tipo de comida favorita?,What is your favourite cuisine or favourite type of food?
¿Qué alimentos odias absolutamente?,What foods do you absolutely hate?
¿Qué piensas de los bufés?,What do you think of buffets?
¿Cuándo fue la última vez que tuviste una pelea de comida?,When was the last time you had a food fight?
¿Qué comida se ve asquerosa pero sabe delicioso?,What food looks disgusting but tastes delicious?
¿Qué compras cada vez que vas al supermercado?,What do you buy every time you go to the supermarket?
"Si tu vida fuera una comida, ¿qué tipo de comida sería?","If your life were a meal, what kind of meal would it be?"
¿Cuál querrías que fuera tu última comida si estuvieras en el corredor de la muerte?,What would you want your last meal to be if you were on death row?
¿Qué comida sabes que no debes comer pero no puedes detenerte?,What food do you know you shouldn't eat but can't stop yourself?
¿Te gusta la comida picante? ¿Por qué o por qué no? ¿Qué es lo más picante que has comido?,"Do you like spicy food, why or why not, what is the spiciest thing you have ever eaten?"
¿Tiene el gobierno un lugar en la regulación de los alimentos? ¿En qué medida debe el gobierno regular los alimentos?,Does the government have a place in regulating food? To what extent should the government regulate food?
"Cuando la gente comete errores sobre la comida (especialmente la comida extranjera), ¿sientes la necesidad de corregirlos?","When people make mistakes about food (especially foreign food), do you feel the need to correct them?"
¿En qué restaurante sueles comer más a menudo?,Which restaurant do you eat at most often?
¿Cuál es el peor restaurante de comida rápida?,What is the worst fast food restaurant?
¿Cuál es el mejor restaurante de tu ciudad?,What is the best restaurant in your city?
¿Cuál es el restaurante más lujoso en el que has comido?,What is the most luxurious restaurant you have ever eaten in?
¿Qué tipo de interior te gusta que  tenga un restaurante?,What kind of interior do you like a restaurant to have?
¿Cuál es el peor restaurante en el que has comido?,What is the worst restaurant you have ever eaten in?
"Si abrieras un restaurante, ¿qué clase de comida servirías?","If you opened a restaurant, what kind of food would you serve?"
¿Cuál es el restaurante temático más extraño del que has escuchado?,What is the strangest themed restaurant you have ever heard of?
¿Comerías en un restaurante que estuviera realmente sucio si la comida fuera increíble?,Would you eat in a restaurant that was really dirty if the food was amazing?
¿Qué es lo más desagradable que has oído que ha pasado en un restaurante?,What's the most disgusting thing you've ever heard of happening in a restaurant?
¿Cuál era tu restaurante favorito cuando eras niño?,What was your favourite restaurant when you were a kid?
¿Qué deportes te gusta ver?,What sports do you like to watch?
