questions_spa,questions_eng
¿Qué duras verdades prefieres ignorar?,What harsh truths do you prefer to ignore?
¿Es el libre albedrío real o sólo una ilusión?,Is free will real or just an illusion?
"¿Tiene sentido la vida? Si es así, ¿cuál es?","Is there a meaning to life? If so, what is it?"
¿Dónde está la línea entre el arte y lo que no es arte?,Where is the line between art and not art?
¿Cuál debería ser el objetivo de la humanidad?,What should be the goal of humanity?
"¿Existe el destino? Si es así, ¿tenemos libre albedrío?","Does fate exist? If so, do we have free will?"
¿Qué significa vivir una buena vida?,What does it mean to live a good life?
¿Por qué soñamos?,Why do we dream?
¿De dónde viene la autoestima?,Where does your self-worth come from?
¿Cómo se extinguirá la especie humana?,How will humans as a species go extinct?
¿Es posible vivir una vida normal y no decir nunca una mentira?,Is it possible to live a normal life and not ever tell a lie?
¿Influye el nombre de una persona en la persona en la que se convierte?,Does a person’s name influence the person they become?
¿El sentido de la vida es el mismo para los animales y los humanos?,Is the meaning of life the same for animals and humans?
"Si alguien a quien quieres muriera delante de ti, pero alguien creara una copia suya perfecta hasta el nivel atómico, ¿sería la misma persona y la querrías igual?","If someone you loved was killed in front of you, but someone created a copy of them that was perfect right down to the atomic level, would they be the same person and would you love them just as much?"
"Si pudieras convertirte en inmortal con la condición de no poder morir o suicidarte NUNCA, ¿elegirías la inmortalidad?","If you could become immortal on the condition you would NEVER be able to die or kill yourself, would you choose immortality?"
¿Qué acciones de tu vida tendrán las consecuencias más duraderas? ¿Durante cuánto tiempo se sentirán esos efectos?,What actions in your life will have the longest reaching consequences? How long will those effects be felt?
¿Cuánto tiempo se le recordará después de morir?,How long will you be remembered after you die?
"Si un niño sobreviviera de algún modo y creciera en la naturaleza sin ningún contacto humano, ¿cómo de ""humano"" sería sin la influencia de la sociedad y la cultura?","If a child somehow survived and grew up in the wilderness without any human contact, how “human” would they be without the influence of society and culture?"
¿Cómo cambiaría la humanidad si la esperanza de vida de todos los seres humanos aumentara significativamente (digamos que a unos 500 años)?,How would humanity change if all humans’ life expectancy was significantly increased (let’s say to around 500 years)?
¿Dónde encuentras el sentido de tu vida?,Where do you find meaning in your life?
¿Cuál crees que sería la reacción de la humanidad ante el descubrimiento de vida extraterrestre?,What do you think would be humanity’s reaction to the discovery of extraterrestrial life?
¿Llegará a ser obsoleta la religión?,Will religion ever become obsolete?
"Si pudiera enseñar un concepto a todos los habitantes del mundo, ¿qué concepto tendría el mayor impacto positivo en la humanidad?","If you could teach everyone in the world one concept, what concept would have the biggest positive impact on humanity?"
¿Es el sufrimiento una parte necesaria de la condición humana? ¿Cómo serían las personas que nunca han sufrido?,Is suffering a necessary part of the human condition? What would people who never suffered be like?
"¿Las dificultades hacen a una persona más fuerte? Si es así, ¿en qué condiciones y en qué momento son demasiadas penurias? Si no es así, ¿qué hace a una persona más fuerte?","Does hardship make a person stronger? If so, under what conditions and at what point is it too much hardship? If not, what makes a person stronger?"
¿Mejorarían o empeorarían las cosas si los seres humanos se centraran en lo que va bien en lugar de en lo que va mal?,Would things get better or worse if humans focused on what was going well rather than what’s going wrong?
¿Qué beneficios aporta el arte a la sociedad? ¿Perjudica el arte a la sociedad de alguna manera?,What benefits does art provide society? Does art hurt society in any way?
¿Qué probabilidad crees que hay de que los humanos duren otros 1.000 años sin matarse?,"How likely do you think it will be that humans will last another 1,000 years without killing ourselves off?"
¿A qué atribuye los mayores éxitos de su vida? ¿Y los mayores fracasos?,What do you attribute the biggest successes in your life to? How about your largest failures?
"Si la libertad es simplemente poder hacer lo que uno quiere, ¿los animales son más libres que los humanos?","If freedom is simply being able to do what you want, are animals freer than humans?"
¿Te gustaría saber que vas a morir de antemano o morir de repente sin avisar?,Would you want to know you are going to die before hand or die suddenly without warning?
¿Va la humanidad en la dirección correcta o equivocada?,Is humanity headed in the right or wrong direction?
¿El estudio de la filosofía conduce alguna vez a respuestas o simplemente a más preguntas?,Does the study of philosophy ever lead to answers or simply more questions?
¿Cuál es la mejor manera de que una persona alcance la felicidad?,What is the best way for a person to attain happiness?
"Si tuviera que adivinar, ¿cuál cree que sería la forma más probable de morir?","If you had to guess, what do you think would be the most likely way you’ll die?"
¿Es mejor que una persona tenga una base de conocimientos amplia o una base de conocimientos profunda?,Is it better for a person to have a broad knowledge base or a deep knowledge base?
"¿Cuál es la mejor manera de formar a las personas para que vean los gradientes del mundo que les rodea en lugar de una visión simplista del mundo de ""esto es bueno, esto es malo""?","What is the best way to train people to see the gradients in the world around them instead of just a simplistic “this is good, that is wrong” view of the world?"
